Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
Vets Central – Gawler Animal Hospital and Animalia Vet Clinic,Waiver,WA-40004,VC OPERATIONS (WA) PTY LTD; 28 646 499 005; VETS CENTRAL HOLDINGS PTY LTD; 60 652 812 256,Gawler Animal Hospital Pty Ltd; 87 160 265 109; GAH 2.0 PTY LTD; 76 666 800 666,Professional Services; Other Services,,2026-01-29,Waiver application,Assessment completed,,,,14,11,Approved,2026-02-12,6970 Veterinary Services; 9539 Other Personal Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/vets-central-%E2%80%93-gawler-animal-hospital-and-animalia-vet-clinic,12 Feb 2026: Notification waiver determination published,,,,2026-02-12T18:10:44+11:00,2026-08-11T01:56:49.469233Z
Blackbird Ventures – Baseten Labs,Waiver,WA-55004,Blackbird FOF25 Pty Ltd as trustee for Blackbird Ventures 2025 Follow-On Fund Trust; 49 711 375 395,"Baseten Labs, Inc; EIN 37-1950658",Manufacturing; Technology and Software; Media and Entertainment; Professional Services,Blackbird Ventures Pty Ltd; 93 159 044 989,2026-01-29,Waiver application,Assessment completed,,,,12,9,Approved,2026-02-10,2461 Agricultural Machinery and Equipment Manufacturing; 5420 Software Publishing; 5700 Internet Publishing and Broadcasting; 6910 Scientific Research Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/blackbird-ventures-%E2%80%93-baseten-labs,10 Feb 2026: Notification waiver determination published,,,,2026-02-10T16:00:35+11:00,2026-08-11T01:56:49.469233Z
NEC Corporation – CSG Systems International,Waiver,WA-90002,NEC Corporation; Company number 7010401022916,"CSG Systems International, Inc.; Company number 2444546",Technology and Software,,2026-01-28,Waiver application,Assessment completed,,,,27,20,Approved,2026-02-24,5420 Software Publishing; 5921 Data Processing and Web Hosting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/nec-corporation-%E2%80%93-csg-systems-international,24 Feb 2026: Notification waiver determination published,,,,2026-02-25T18:08:12+11:00,2026-08-11T01:56:49.469233Z
"Australian Venue Co. – leasehold and certain other assets of Quay Restaurant, Sydney",Waiver,WA-25005,AVC OPERATIONS PTY LIMITED; 81 607 832 299; Australian Venue Co. Holdings Limited; 90 619 977 070,Q.R.A. PTY LIMITED; 62 051 433 839,Accommodation and Hospitality,,2026-01-27,Waiver application,Assessment completed,,,,13,10,Approved,2026-02-09,"4511 Cafes and Restaurants; 4520 Pubs, Taverns and Bars",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/australian-venue-co-%E2%80%93-leasehold-and-certain-other-assets-of-quay-restaurant-sydney,9 Feb 2026: Notification waiver determination published,,,,2026-02-09T17:36:29+11:00,2026-08-11T01:56:49.469233Z
Australian Retirement Trust – Interests in non-rental income (Westfield Sydney),Waiver,WA-15004,QIC TT COMPANY PTY LTD; 27 694 380 973,SCENTRE GROUP TRUST 3; 11 517 229 138; SCENTRE ALLIANCES PTY LIMITED; 53 098 357 521,Property and Real Estate; Professional Services; Other Services,QIC INVESTMENTS NO.4 PTY LTD; 84 682 889 818; THE TRUSTEE FOR AUSTRALIAN RETIREMENT TRUST; 60 905 115 063; SCENTRE GROUP LIMITED; 66 001 671 496; WESTFIELD GIFT CARDS PTY LIMITED; 78 113 171 663,2026-01-24,Waiver application,Assessment completed,,,,27,19,Approved,2026-02-20,6712 Non-Residential Property Operators; 6940 Advertising Services; 9533 Parking Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/australian-retirement-trust-%E2%80%93-interests-in-non-rental-income-westfield-sydney,20 Feb 2026: Notification waiver determination published,,,,2026-02-20T18:33:32+11:00,2026-08-11T01:56:49.469233Z
Symal Group - Timms Group and L&D Group,Notification,MN-25002,SYMAL MANAGEMENT PTY LTD; 85 602 084 471; SYL TM CONTRACTING PTY LTD; 68 693 144 697; SYMAL NG PROPERTY PTY LTD; 693 144 722; T OPERATIONS PTY LTD; 57 691 920 242; T HAULAGE PTY LTD; 53 691 920 224; SYMAL CONTRACTORS (QLD) PTY LTD; 691 434 134,TIMMS HIRE PTY LTD; 73 115 389 949; TIMMS CONTRACTING PTY LTD; 30 070 456 567; Churinga (Investments) Pty Ltd as trustee for THE CHURINGA Trust; 45 218 813 341; TEAGUN INVESTMENTS PTY. LTD; 45 061 988 538; ADAWIN PTY LTD; 49 010 904 551,Construction and Engineering,Timms Investments (Qld) Pty Ltd as trustee for the Timms Investments Trust; 143 730 572; Jones Investments (Qld) Pty Ltd as trustee for the Jones Investments Trust; 143 730 705; K Parsons Investments (Qld) Pty Ltd as trustee for the Parsons Investment Trust; 143 731 524; Clarkson-Jones Investments (Qld) Pty Ltd as trustee for the Clarkson-Jones Investments Trust; 143 730 956,2026-01-23,Phase 1 - initial assessment,Assessment completed,,,,27,19,Approved,2026-02-19,3109 Other Heavy and Civil Engineering Construction; 3212 Site Preparation Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/symal-group-timms-group-and-ld-group,19 Feb 2026: Symal Group / Timms Group and L&D Group -Phase 1 Determination,,,,2026-02-20T09:48:15+11:00,2026-08-11T01:56:49.469233Z
L Catterton Management – Ex Nihilo Group,Waiver,WA-35004,Saphir Holdings SAS; Trade and Companies Registry Number 995 192 986,Ex Nihilo Group; Trade and Companies Registry Number 981 087 646,Wholesale Trade; Retail Trade,L Catterton Management Limited,2026-01-22,Waiver application,Assessment completed,,,,13,9,Approved,2026-02-04,"3720 Pharmaceutical and Toiletry Goods Wholesaling; 4271 Pharmaceutical, Cosmetic and Toiletry Goods Retailing",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/l-catterton-management-%E2%80%93-ex-nihilo-group,4 Feb 2026: Notification waiver determination published,,,,2026-02-04T16:44:51+11:00,2026-08-11T01:56:49.469233Z
Coforge - Encora,Waiver,WA-15003,Coforge Limited; L72100HR1992PLC128382; Encora Holdco Limited; Al Altius Parent (Cayman) Limited,"Encora US Holdco, Inc; Encora Holdings Limited",Professional Services,"Advent International, L.P.",2026-01-21,Waiver application,Assessment completed,,,,23,17,Approved,2026-02-13,7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/coforge-encora,13 Feb 2026: Notification waiver determination published,,,,2026-02-13T18:15:28+11:00,2026-08-11T01:56:49.469233Z
Ramsay Health Care – National Capital Private Hospital,Notification,MN-75003,RAMSAY HEALTH CARE AUSTRALIA PTY LIMITED; 36 003 184 889; RAMSAY HEALTH CARE INVESTMENTS PTY LIMITED; 44 078 881 473,HEALTHSCOPE OPERATIONS PTY LTD; 85 006 405 152; HEALTHSCOPE MANAGEMENT PTY LTD; 80 146 342 814; HEALTHSCOPE NEWCO PTY LTD; 80 092 450 274; ANZ HOSPITALS PTY LTD; 14 631 014 938,Hospitals,Katherine Sozou; Jason Ireland; Matthew Caddy; Keith Crawford,2026-01-21,Phase 1 - initial assessment,Assessment completed,,,,22,16,Approved,2026-02-12,8401 Hospitals (Except Psychiatric Hospitals),https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ramsay-health-care-%E2%80%93-national-capital-private-hospital,12 Feb 2026: Ramsay - National Capital - Phase 1 determination,,,,2026-02-12T17:10:36+11:00,2026-08-11T01:56:49.469233Z
Francisco Partners - Sermo,Waiver,WA-50003,Sigrun Bidco Limited,"Sermo Limited (together with its subsidiaries, “Sermo”); CRN 11755038",Financial Advisory and Broking; Veterinary Services,"Francisco Partners Management, L.P",2026-01-20,Waiver application,Assessment completed,,,,31,23,Approved,2026-02-20,6419 Other Auxiliary Finance and Investment Services; 6950 Market Research and Statistical Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/francisco-partners-sermo,20 Feb 2026: Notification waiver determination published,,,,2026-02-20T18:41:18+11:00,2026-08-11T01:56:49.469233Z
Intrepid Travel – Wild Bush Luxury,Waiver,WA-70003,INTREPID TRAVEL PTY LTD; 35 007 172 456,EXPERIENCE CO LIMITED; 56 167 320 470; WILD BUSH LUXURY EXPERIENCE PTY LTD; 47 648 431 734,Accommodation and Hospitality; Transport and Logistics; Business Services; Sport and Recreation,INTREPID GROUP PTY LTD; 30 131 952 513,2026-01-20,Waiver application,Assessment completed,,,,16,12,Not approved,2026-02-05,4400 Accommodation; 5010 Scenic and Sightseeing Transport; 7220 Travel Agency and Tour Arrangement Services; 8922 Nature Reserves and Conservation Parks Operation,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/intrepid-travel-%E2%80%93-wild-bush-luxury,5 Feb 2026: Notification waiver determination published,,,,2026-02-05T17:30:19+11:00,2026-08-11T01:56:49.469233Z
Delinea (TPG) - StrongDM,Waiver,WA-25003,Delinea Inc.; Delaware corporation file number - 3777797,"StrongDM, Inc; CIK - 0001637806",Technology and Software; Professional Services,"TPG Inc.; SEC - 87-2063362; Spartan Merger Sub, Inc.; Delaware corporation file number - 10430493; Delinea Buyer, Inc.; Delaware corporation file number - 4842270",2026-01-20,Waiver application,Assessment completed,,,,14,10,Approved,2026-02-03,5420 Software Publishing; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/delinea-tpg-strongdm,3 Feb 2026: Notification waiver determination published,,,,2026-02-03T17:33:20+11:00,2026-08-11T01:56:49.469233Z
Warburg Pincus – Acclime,Waiver,WA-60008,Achronite Bidco Ltd,Acclime Holdings HK Limited; BRN - 70084973; Acclime Holdings Limited; BRN - 70084973,Asset Management and Investment; Financial Advisory and Broking; Professional Services; Business Services,Warburg Pincus LLC,2026-01-20,Waiver application,Assessment completed,,,,10,8,Approved,2026-01-30,6240 Financial Asset Investing; 6419 Other Auxiliary Finance and Investment Services; 6932 Accounting Services; 7291 Office Administrative Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/warburg-pincus-%E2%80%93-acclime,30 Jan 2026: Notification waiver determination published,,,,2026-01-30T18:10:49+11:00,2026-08-11T01:56:49.469233Z
GE Healthcare – Intelerad,Notification,MN-01074,GE Healthcare Technologies Inc.; 6772877,Intelerad Holdings ULC; 703693275,Technology and Software; Professional Services,,2026-01-20,Phase 1 - initial assessment,Assessment completed,,,,37,27,Approved,2026-02-26,5420 Software Publishing; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ge-healthcare-%E2%80%93-intelerad,26 Feb 2026: GE Healthcare - Intelerad - Phase 1 determination,,,,2026-02-26T15:17:05+11:00,2026-08-11T01:56:49.469233Z
Opal Healthcare – Sunnymeade Park Aged Care Community,Notification,MN-75002,OHCA Property Holdings Pty Ltd; 70 675 807 477; DPG Services Pty Ltd; 38 090 007 999,The assets and business comprising Sunnymeade Park Aged Care Community,Social Assistance,,2026-01-19,Phase 1 - initial assessment,Assessment completed,,,,22,16,Approved,2026-02-10,8601 Aged Care Residential Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/opal-healthcare-%E2%80%93-sunnymeade-park-aged-care-community,10 Feb 2026: Opal Healthcare - Sunnymeade Park Aged Care Community - Phase 1 determination,,,,2026-02-10T16:24:51+11:00,2026-08-11T01:56:49.469233Z
Henkel – ATP adhesive systems group,Waiver,WA-65003,"Henkel Global Supply Chain B.V.; Netherlands registration number: 854017447, CCI 60683945",Aqua Adhesives I GmbH; Swiss registration number - CH-170.4.019.187-0,Manufacturing; Asset Management and Investment,Henkel AG & Co. KGaA; HRB - 4724; ATP adhesive systems Group GmbH,2026-01-19,Waiver application,Assessment completed,,,,17,13,Not approved,2026-02-05,1851 Cleaning Compound Manufacturing; 1852 Cosmetic and Toiletry Preparation Manufacturing; 1915 Adhesive Manufacturing; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/henkel-%E2%80%93-atp-adhesive-systems-group,5 Feb 2026: Notification waiver determination published,,,,2026-02-05T17:37:16+11:00,2026-08-11T01:56:49.469233Z
Alpine Software Group (ASG) – PlayHQ,Waiver,WA-80001,Arena BidCo Pty Ltd; 693 657 484,RFGI GROUP PTY LTD; 55 630 028 974; GAMEON HOLDINGS PTY LTD; 47 629 422 206,Professional Services; Gambling,"ASG IV, LLC; EIN - 39-3804433; PLAYHQ SPORTS PTY LTD; 11 624 565 359; PlayHQ Sports UK Limited; UK registered company - 16260012; PlayHQ Sports Ltd; Canadian registered company - 1001392583; Arena HoldCo Pty Ltd; 693 657 162",2026-01-19,Waiver application,Assessment completed,,,,10,8,Approved,2026-01-29,7000 Computer System Design and Related Services; 9112 Sports and Physical Recreation Clubs and Sports Professionals,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/alpine-software-group-asg-%E2%80%93-playhq,29 Jan 2026: Notification waiver determination published,,,,2026-01-29T17:03:49+11:00,2026-08-11T01:56:49.469233Z
Thermo Fisher - Clario Holdings,Notification,MN-01075,Thermo Fisher Scientific Inc.; 04-2209186,"Clario Holdings, Inc.; 5977148",Professional Services,,2026-01-16,Phase 1 - initial assessment,Assessment completed,,,,25,17,Approved,2026-02-10,6910 Scientific Research Services; 6925 Scientific Testing and Analysis Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/thermo-fisher-clario-holdings,10 Feb 2026: Thermo Fisher - Clario Holdings - Phase 1 determination,,,,2026-02-10T12:44:10+11:00,2026-08-11T01:56:49.469233Z
CVC Capital Partners – Smiths Detection Group,Waiver,WA-40003,Skyshield UK Bidco Limited; Skyshield US Bidco Limited; CVC Capital Partners plc,Smiths Detection Group Limited,Manufacturing,,2026-01-16,Waiver application,Assessment completed,,,,14,10,Approved,2026-01-30,2469 Other Specialised Machinery and Equipment Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/cvc-capital-partners-%E2%80%93-smiths-detection-group,30 Jan 2026: Notification waiver determination published,,,,2026-01-30T17:11:06+11:00,2026-08-11T01:56:49.469233Z
L’Oréal – Kering Beauté,Notification,MN-01080,L'Oreal S.A.; Paris Trade and Companies Register number 632 012 100,Kering Beauté S.A.S.; Netherlands Chamber of Commerce registration number 33223151,Wholesale Trade,,2026-01-15,Phase 1 - initial assessment,Assessment completed,,,,27,19,Approved,2026-02-11,3720 Pharmaceutical and Toiletry Goods Wholesaling,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/l%E2%80%99or%C3%A9al-%E2%80%93-kering-beaut%C3%A9,11 Feb 2026: L'Oreal - Kering Beaute - Phase 1 determination,,,,2026-02-11T09:29:05+11:00,2026-08-11T01:56:49.469233Z
Stockland LLC – intragroup transfer of Halcyon Jardin and Evergreen projects,Waiver,WA-10002,SMLLP ASSET PTY LTD (as trustee for the SMLLP Evergreen Trust); 84 693 264 649; SMLLP SUB PTY LTD (as trustee of the SMLLP Development Sub Trust); 92 693 263 875,STOCKLAND LAND LEASE MANAGEMENT PTY LIMITED; 31 639 714 453; Stockland LLC No. 2 Pty Ltd (as trustee for the Stockland LLC St Germain Trust); 651 781 556,Construction and Engineering,STOCKLAND CORPORATION LTD; 43 000 181 733; Stockland Trust (ARSN 092 897 348),2026-01-15,Waiver application,Assessment completed,,,,29,21,Approved,2026-02-13,3211 Land Development and Subdivision,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/stockland-llc-%E2%80%93-intragroup-transfer-of-halcyon-jardin-and-evergreen-projects,13 Feb 2026: Notification waiver determination published,,,,2026-02-13T18:31:05+11:00,2026-08-11T01:56:49.469233Z
"Star Hotels Group – Yandina Hotel, QLD",Waiver,WA-40002,HOTEL MAROOCHYDORE PTY LTD; 99 140 651 887; SCHF PTY LTD; 99 644 329 733; Star Consolidated Holdings Pty Ltd; 12 615 803 588,The Trustee for Kingston Family Trust; 96 328 946 230,Accommodation and Hospitality,,2026-01-14,Waiver application,Assessment completed,,,,19,13,Approved,2026-02-02,"4400 Accommodation; 4520 Pubs, Taverns and Bars",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/star-hotels-group-%E2%80%93-yandina-hotel-qld,2 Feb 2026: Notification waiver determination published,,,,2026-02-03T10:08:37+11:00,2026-08-11T01:56:49.469233Z
Re.Group – Scouts Queensland Recycling Centre Site,Waiver,WA-60006,RETURN IT PTY LTD; 61 615 434 869,"THE SCOUT ASSOCIATION OF AUSTRALIA, SOUTH AUSTRALIAN BRANCH INCORPORATED; 35 621 021 366",Waste and Environmental Services,RE.GROUP PTY LIMITED; 616 439 779,2026-01-14,Waiver application,Assessment completed,,,,15,11,Approved,2026-01-29,2919 Other Waste Collection Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/regroup-%E2%80%93-scouts-queensland-recycling-centre-site,29 Jan 2026: Notification waiver determination published,,,,2026-01-29T17:03:58+11:00,2026-08-11T01:56:49.469233Z
